,,,,,TestName,Presence Rivet 1,Presence Rivet 2,Presence Rivet 3,Presence Rivet 4,Presence Rivet 5,Presence Rivet 6,Presence Rivet 7,Presence Rivet 8,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,5V_Pressure_Transducer Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Program & Verify Serial Number,Verify Software Number,2.5V_Buf Reference,UIO1 Data Calibrated,UIO2 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,UIO2 Calibration,2.5V Reference Calibration,UI1 Data Calibrated,UI2 Data Calibrated,UI3 Data Calibrated,UI4 Data Calibrated,UI5 Data Calibrated,UI6 Data Calibrated,UI7 Data Calibrated,UI1 Calibration,UI2 Calibration,UI3 Calibration,UI4 Calibration,UI5 Calibration,UI6 Calibration,UI7 Calibration,AO1 Data Calibrated,AO2 Data Calibrated,AO3 Data Calibrated,AO4 Data Calibrated,AO1 Calibration,AO2 Calibration,AO3 Calibration,AO4 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,0 VAC Binary Output 1,0 VAC Binary Output 2,0 VAC Binary Output 3,0 VAC Binary Output 4,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,AO1 Voltage Output Mode 10V,AO2 Voltage Output Mode 10V,AO3 Voltage Output Mode 10V,AO4 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO2 Voltage Output Mode 0V,AO3 Voltage Output Mode 0V,AO4 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO2 Current Output Mode 10 mA,AO3 Current Output Mode 10 mA,AO4 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO2 Current Output Mode 0 mA,AO3 Current Output Mode 0 mA,AO4 Current Output Mode 0 mA,AO3 PWM Output Mode 80Hz,AO4 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI2 Voltage Input Mode 10V,UI3 Voltage Input Mode 10V,UI4 Voltage Input Mode 10V,UI5 Voltage Input Mode 10V,UI6 Voltage Input Mode 10V,UI7 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI2 Current Input Mode 10mA,UI3 Current Input Mode 10mA,UI4 Current Input Mode 10mA,UI5 Current Input Mode 10mA,UI6 Current Input Mode 10mA,UI7 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UI2 Resistance Input Mode 10k,UI3 Resistance Input Mode 10k,UI4 Resistance Input Mode 10k,UI5 Resistance Input Mode 10k,UI6 Resistance Input Mode 10k,UI7 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO2 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO2 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO2 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO2 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO2 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UIO2 Voltage Output Mode 0V,Rotary Address 1 SW1,Rotary Address 2 SW1,Rotary Address 3 SW1,Rotary Address 4 SW1,Rotary Address 5 SW1,Rotary Address 6 SW1,Rotary Address 7 SW1,Rotary Address 8 SW1,Rotary Address 9 SW1,Rotary Address 1 SW2,Rotary Address 2 SW2,Rotary Address 3 SW2,Rotary Address 4 SW2,Rotary Address 5 SW2,Rotary Address 6 SW2,Rotary Address 7 SW2,Rotary Address 8 SW2,Rotary Address 9 SW2,J11 Address J11.1,J11 Address J11.3,J11 Address J11.5,J11 Address J11.7
,,,,,LowLimit,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.0900,22.8000,4.7500,3.1350,4.9500,20.8000,0.0000,Passed,Passed,,2250.00,,,,Passed,Passed,Passed,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,Passed,Passed,Passed,Passed,1000,1000,1000,1000,22.80,22.80,22.80,22.80,-100,-100,-100,-100,0.00,0.00,0.00,0.00,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9.85,9.85,9.85,9.85,-0.05,-0.05,-0.05,-0.05,9.75,9.75,9.75,9.75,-0.25,-0.25,-0.25,-0.25,79.20,79.20,9.90,9.90,9.90,9.90,9.90,9.90,9.90,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9900,9900,9900,9900,9900,9900,9900,9.85,9.85,9900,9900,Passed,Passed,Passed,Passed,9.80,9.80,-0.05,-0.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,80,80,80,80
,,,,,HighLimit,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.2000,27.2000,5.2500,3.4650,5.1500,25.2000,24.0000,Passed,Passed,,2750.00,,,,Passed,Passed,Passed,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,Passed,Passed,Passed,Passed,100000,100000,100000,100000,25.20,25.20,25.20,25.20,100,100,100,100,1.20,1.20,1.20,1.20,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.15,10.15,10.15,10.15,0.05,0.05,0.05,0.05,10.25,10.25,10.25,10.25,0.25,0.25,0.25,0.25,80.80,80.80,10.10,10.10,10.10,10.10,10.10,10.10,10.10,10.15,10.15,10.15,10.15,10.15,10.15,10.15,10100,10100,10100,10100,10100,10100,10100,10.15,10.15,10100,10100,Passed,Passed,Passed,Passed,10.20,10.20,1.00,1.00,500,500,500,500,500,500,500,500,500,100,100,100,100,100,100,100,100,100,89,88,86,82
,,,,,Units,,,,,,,,,A,VDC,VDC,VDC,VDC,VDC,VDC,,,,mV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,,,,,,,,,,,,,VDC,VDC,VDC,VDC,VDC,VDC,VDC,VDC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,Hz,Hz,VDC,VDC,VDC,VDC,VDC,VDC,VDC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,mADC,mADC,Ohms,Ohms,,,,,VDC,VDC,VDC,VDC,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts
SN,Date,CycleTime,Nest,Status,FirstFail
,10/12/2022 03:59:41 a. m.,5.79s,1,Failed,5 VDC Measurment,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1522,24.9779,6.6334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/12/2022 04:04:29 a. m.,232.89s,1,Failed,UI6 Voltage Input Mode 10V,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1556,24.9733,5.0015,3.3142,5.0809,23.7116,16.8021,Passed,Passed,014565,2496.91,024F45060005576900029C4FFFFF26EE,025044F2FFF0576EFFEE9C51FFEB2706,025D9C0F,Passed,Passed,Passed,0251D98577830B686DCD000689910005,0252D983776F0B666E7100048A740003,0253D97877560B616E13000389F90002,0254D98B77690B606DEA000989C90008,0255D94A77350B606DD20002899E0003,0256D9B377880B776E24FFF08A16FFEE,0257D999777A0B626DF9000989E00008,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E310009,02596DFFFFF3,025A6E6EFFF5,025B6E750007,Passed,Passed,Passed,Passed,38555,45206,34907,45206,23.94,23.94,23.94,23.96,0,0,0,0,0.17,0.18,0.13,0.12,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.06,10.03,9.95,10.04,0.01,0.01,0.00,0.00,9.97,10.00,10.03,9.99,0.00,0.01,0.00,0.00,80.00,80.00,10.10,10.10,10.10,10.09,10.10,23.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/12/2022 04:12:00 a. m.,264.12s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1536,25.0135,5.0016,3.3137,5.0813,23.7210,16.8226,Passed,Passed,014565,2497.15,024F45090006576800039C4F000326F4,025044F2FFF1576EFFEE9C54FFEC2708,025D9C12,Passed,Passed,Passed,0251D981777E0B676DCF000689940005,0252D986776C0B666E7100038A740002,0253D97977510B606E15000389F30002,0254D98677640B5F6DEC000989C90008,0255D94777300B5F6DD2000289A30000,0256D9AF77830B766E23FFF18A10FFF0,0257D99577760B626DF9000989D70009,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E30000A,02596DFFFFF4,025A6E6DFFF5,025B6E750005,Passed,Passed,Passed,Passed,30600,39512,33394,39512,23.93,23.93,23.93,23.95,0,0,0,0,0.17,0.18,0.13,0.11,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.06,10.01,10.04,10.04,0.01,0.01,0.00,0.00,9.93,9.98,10.02,10.02,0.00,0.01,0.00,0.00,80.00,80.00,10.10,10.10,10.10,10.09,10.10,10.09,10.10,10.01,10.01,10.01,10.01,10.01,10.01,10.01,10000,10001,10001,10001,10001,10001,10001,10.01,10.01,9989,10021,Passed,Passed,Passed,Passed,9.99,9.98,0.01,0.01,10,20,30,40,50,40,60,70,80,1,2,3,4,5,4,6,7,8,89,88,86,82
,10/12/2022 04:15:45 a. m.,489.26s,2,Failed,UI6 Voltage Input Mode 10V,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1566,25.0479,4.9910,3.3388,5.0846,23.5774,16.6519,Passed,Passed,014565,2490.08,024F44B70008572D00069BD7000E26F6,025044BDFFF15732FFEF9BD9FFFC2702,025D9BA1,Passed,Passed,Passed,0251DBBE78A70B806DDF000689B00006,0252DBC978B70B866E10000489FB0005,0253DBC278890B7A6DD0000489BA0003,0254DBA6789A0B7C6D890009894D0008,0255DBE178A40B806DAF0003898E0001,0256DBE578BA0B936DC9FFF189A7FFF1,0257DC2178D40B826DA20009896A0008,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E1A000A,02596E0EFFF5,025A6E00FFF6,025B6DEF0006,Passed,Passed,Passed,Passed,23716,26370,59001,41938,23.94,23.94,23.94,23.96,0,0,0,0,0.09,0.10,0.09,0.08,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.10,10.04,9.87,10.06,0.00,0.01,0.00,0.00,10.10,10.11,10.10,10.04,0.00,0.00,0.00,0.00,80.00,80.00,10.09,10.09,10.09,10.09,10.09,23.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S224900532,10/12/2022 04:32:44 a. m.,258.62s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1519,25.0201,5.0016,3.3136,5.0812,23.5436,16.5973,Passed,Passed,014565,2496.73,024F45080007576A00029C50000526EB,025044F4FFF1576FFFEE9C57FFEB2704,025D9C0C,Passed,Passed,Passed,0251D97A777D0B676DD0000689940005,0252D978776A0B666E7100048A750002,0253D97377510B5F6E15000389F80002,0254D98177640B5F6DED000989CD0008,0255D93F77300B606DD3000189A20000,0256D9A877820B766E24FFF18A10FFF0,0257D98F77750B626DFA000989DB0008,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E32000A,02596E01FFF4,025A6E6FFFF4,025B6E750006,Passed,Passed,Passed,Passed,38555,45324,34907,45324,23.94,23.94,23.94,23.96,0,0,0,0,0.18,0.19,0.14,0.13,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.06,10.03,9.98,10.04,0.01,0.01,0.00,0.00,9.94,10.00,10.03,9.99,0.00,0.01,0.00,0.00,80.00,80.00,10.10,10.10,10.10,10.09,10.10,10.09,10.10,10.01,10.01,10.01,10.01,10.01,10.01,10.01,9998,10002,10001,10001,10001,10001,10002,10.01,10.01,9984,10019,Passed,Passed,Passed,Passed,9.97,9.99,0.01,0.01,10,20,30,20,40,50,40,60,70,1,2,3,4,5,4,6,7,8,89,88,86,82
S224900542,10/12/2022 04:33:28 a. m.,4.45s,1,Failed,Presence Rivet 8,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
