,,,,,TestName,Connectors P15-P19 or J3,Connectors J4 or J7,Connectors J5 or J8,Connectors J6 or J9,Connectors P20 or J10,Connectors P21,Presence Rivet 1,Presence Rivet 2,Presence Rivet 3,Presence Rivet 4,Presence Rivet 5,Presence Rivet 6,Presence Rivet 7,Presence Rivet 8,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,REF_2V5_Buf VDC Measurment,5V_Pressure_Transducer Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Program & Verify Serial Number,Verify Software Number,2.5V_Buf Reference,UIO1 Data Calibrated,UIO2 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,UIO2 Calibration,2.5V Reference Calibration,UI1 Data Calibrated,UI2 Data Calibrated,UI3 Data Calibrated,UI4 Data Calibrated,UI5 Data Calibrated,UI6 Data Calibrated,UI7 Data Calibrated,UI1 Calibration,UI2 Calibration,UI3 Calibration,UI4 Calibration,UI5 Calibration,UI6 Calibration,UI7 Calibration,AO1 Data Calibrated,AO2 Data Calibrated,AO3 Data Calibrated,AO4 Data Calibrated,AO1 Calibration,AO2 Calibration,AO3 Calibration,AO4 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,0 VAC Binary Output 1,0 VAC Binary Output 2,0 VAC Binary Output 3,0 VAC Binary Output 4,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,AO1 Voltage Output Mode 10V,AO2 Voltage Output Mode 10V,AO3 Voltage Output Mode 10V,AO4 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO2 Voltage Output Mode 0V,AO3 Voltage Output Mode 0V,AO4 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO2 Current Output Mode 10 mA,AO3 Current Output Mode 10 mA,AO4 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO2 Current Output Mode 0 mA,AO3 Current Output Mode 0 mA,AO4 Current Output Mode 0 mA,AO3 PWM Output Mode 80Hz,AO4 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI2 Voltage Input Mode 10V,UI3 Voltage Input Mode 10V,UI4 Voltage Input Mode 10V,UI5 Voltage Input Mode 10V,UI6 Voltage Input Mode 10V,UI7 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI2 Current Input Mode 10mA,UI3 Current Input Mode 10mA,UI4 Current Input Mode 10mA,UI5 Current Input Mode 10mA,UI6 Current Input Mode 10mA,UI7 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UI2 Resistance Input Mode 10k,UI3 Resistance Input Mode 10k,UI4 Resistance Input Mode 10k,UI5 Resistance Input Mode 10k,UI6 Resistance Input Mode 10k,UI7 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO2 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO2 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO2 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO2 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO2 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UIO2 Voltage Output Mode 0V,J11 Address J11.1,J11 Address J11.3,J11 Address J11.5,J11 Address J11.7
,,,,,LowLimit,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.0900,22.8000,4.7500,3.1350,2.4750,4.9500,20.8000,0.0000,Passed,Passed,,2250.00,,,,Passed,Passed,Passed,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,Passed,Passed,Passed,Passed,1000,1000,1000,1000,22.80,22.80,22.80,22.80,-100,-100,-100,-100,0.00,0.00,0.00,0.00,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9.85,9.85,9.85,9.85,-0.05,-0.05,-0.05,-0.05,9.75,9.75,9.75,9.75,-0.25,-0.25,-0.25,-0.25,79.20,79.20,9.90,9.90,9.90,9.90,9.90,9.90,9.90,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9900,9900,9900,9900,9900,9900,9900,9.85,9.85,9900,9900,Passed,Passed,Passed,Passed,9.80,9.80,-0.05,-0.05,88.9,87.9,85.9,81.9
,,,,,HighLimit,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.2000,27.2000,5.2500,3.4650,2.5250,5.0500,25.2000,24.0000,Passed,Passed,,2750.00,,,,Passed,Passed,Passed,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,Passed,Passed,Passed,Passed,100000,100000,100000,100000,25.20,25.20,25.20,25.20,100,100,100,100,1.20,1.20,1.20,1.20,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.15,10.15,10.15,10.15,0.05,0.05,0.05,0.05,10.25,10.25,10.25,10.25,0.25,0.25,0.25,0.25,80.80,80.80,10.10,10.10,10.10,10.10,10.10,10.10,10.10,10.15,10.15,10.15,10.15,10.15,10.15,10.15,10100,10100,10100,10100,10100,10100,10100,10.15,10.15,10100,10100,Passed,Passed,Passed,Passed,10.20,10.20,1.00,1.00,89,88,86,82
,,,,,Units,,,,,,,,,,,,,,,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,,,,mV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,,,,,,,,,,,,,VDC,VDC,VDC,VDC,VDC,VDC,VDC,VDC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,Hz,Hz,VDC,VDC,VDC,VDC,VDC,VDC,VDC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,mADC,mADC,Ohms,Ohms,,,,,VDC,VDC,VDC,VDC,counts,counts,counts,counts
SN,Date,CycleTime,Nest,Status,FirstFail
S214600912,08/07/2022 11:29:13,18.72s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1464,25.4638,5.0088,3.3387,2.5036,4.9957,23.4190,16.2223,Passed,Passed,011FE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S214600912,08/07/2022 11:30:07,18.76s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1470,25.4574,5.0088,3.3386,2.5036,4.9956,23.7249,16.4410,Passed,Passed,011FE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S214600912,08/07/2022 11:30:29,18.73s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1437,25.4721,5.0088,3.3389,2.5036,4.9958,23.2260,16.1408,Passed,Passed,011FE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220401371,08/07/2022 11:31:01,18.65s,1,Failed,Binary Input 6 Low,Failed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1417,25.1530,5.0084,3.3231,2.5042,4.9833,23.2418,16.3087,Passed,Passed,011FE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220401371,08/07/2022 11:31:26,18.77s,1,Failed,Binary Input 6 Low,Failed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1454,25.1949,5.0084,3.3232,2.5042,4.9835,23.4389,16.4433,Passed,Passed,011FE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220401371,08/07/2022 11:31:57,18.70s,1,Failed,Binary Input 6 Low,Failed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1454,25.2012,5.0084,3.3230,2.5042,4.9835,23.6335,16.6913,Passed,Passed,011FE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
