,,,,,TestName,Connectors P15-P19 or J3,Connectors J4 or J7,Connectors J5 or J8,Connectors J6 or J9,Connectors P20 or J10,Connectors P21,Presence Rivet 1,Presence Rivet 2,Presence Rivet 3,Presence Rivet 4,Presence Rivet 5,Presence Rivet 6,Presence Rivet 7,Presence Rivet 8,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,REF_2V5_Buf VDC Measurment,5V_Pressure_Transducer Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Program & Verify Serial Number,Verify Software Number,2.5V_Buf Reference,UIO1 Data Calibrated,UIO2 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,UIO2 Calibration,2.5V Reference Calibration,UI1 Data Calibrated,UI2 Data Calibrated,UI3 Data Calibrated,UI4 Data Calibrated,UI5 Data Calibrated,UI6 Data Calibrated,UI7 Data Calibrated,UI1 Calibration,UI2 Calibration,UI3 Calibration,UI4 Calibration,UI5 Calibration,UI6 Calibration,UI7 Calibration,AO1 Data Calibrated,AO2 Data Calibrated,AO3 Data Calibrated,AO4 Data Calibrated,AO1 Calibration,AO2 Calibration,AO3 Calibration,AO4 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,0 VAC Binary Output 1,0 VAC Binary Output 2,0 VAC Binary Output 3,0 VAC Binary Output 4,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,AO1 Voltage Output Mode 10V,AO2 Voltage Output Mode 10V,AO3 Voltage Output Mode 10V,AO4 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO2 Voltage Output Mode 0V,AO3 Voltage Output Mode 0V,AO4 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO2 Current Output Mode 10 mA,AO3 Current Output Mode 10 mA,AO4 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO2 Current Output Mode 0 mA,AO3 Current Output Mode 0 mA,AO4 Current Output Mode 0 mA,AO3 PWM Output Mode 80Hz,AO4 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI2 Voltage Input Mode 10V,UI3 Voltage Input Mode 10V,UI4 Voltage Input Mode 10V,UI5 Voltage Input Mode 10V,UI6 Voltage Input Mode 10V,UI7 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI2 Current Input Mode 10mA,UI3 Current Input Mode 10mA,UI4 Current Input Mode 10mA,UI5 Current Input Mode 10mA,UI6 Current Input Mode 10mA,UI7 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UI2 Resistance Input Mode 10k,UI3 Resistance Input Mode 10k,UI4 Resistance Input Mode 10k,UI5 Resistance Input Mode 10k,UI6 Resistance Input Mode 10k,UI7 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO2 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO2 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO2 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO2 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO2 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UIO2 Voltage Output Mode 0V,J11 Address J11.1,J11 Address J11.3,J11 Address J11.5,J11 Address J11.7
,,,,,LowLimit,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.0900,22.8000,4.7500,3.1350,2.4750,4.9500,20.8000,0.0000,Passed,Passed,,2250.00,,,,Passed,Passed,Passed,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,Passed,Passed,Passed,Passed,1000,1000,1000,1000,22.80,22.80,22.80,22.80,-100,-100,-100,-100,0.00,0.00,0.00,0.00,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9.85,9.85,9.85,9.85,-0.05,-0.05,-0.05,-0.05,9.75,9.75,9.75,9.75,-0.25,-0.25,-0.25,-0.25,79.20,79.20,9.90,9.90,9.90,9.90,9.90,9.90,9.90,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9900,9900,9900,9900,9900,9900,9900,9.85,9.85,9900,9900,Passed,Passed,Passed,Passed,9.80,9.80,-0.05,-0.05,88.9,87.9,85.9,81.9
,,,,,HighLimit,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.2000,27.2000,5.2500,3.4650,2.5250,5.0500,25.2000,24.0000,Passed,Passed,,2750.00,,,,Passed,Passed,Passed,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,Passed,Passed,Passed,Passed,100000,100000,100000,100000,25.20,25.20,25.20,25.20,100,100,100,100,1.20,1.20,1.20,1.20,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.15,10.15,10.15,10.15,0.05,0.05,0.05,0.05,10.25,10.25,10.25,10.25,0.25,0.25,0.25,0.25,80.80,80.80,10.10,10.10,10.10,10.10,10.10,10.10,10.10,10.15,10.15,10.15,10.15,10.15,10.15,10.15,10100,10100,10100,10100,10100,10100,10100,10.15,10.15,10100,10100,Passed,Passed,Passed,Passed,10.20,10.20,1.00,1.00,89,88,86,82
,,,,,Units,,,,,,,,,,,,,,,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,,,,mV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,,,,,,,,,,,,,VDC,VDC,VDC,VDC,VDC,VDC,VDC,VDC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,Hz,Hz,VDC,VDC,VDC,VDC,VDC,VDC,VDC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,mADC,mADC,Ohms,Ohms,,,,,VDC,VDC,VDC,VDC,counts,counts,counts,counts
SN,Date,CycleTime,Nest,Status,FirstFail
S215000517,13/07/2022 13:40:03,256.18s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1454,25.2718,5.0001,3.3216,2.4999,5.0091,23.5636,16.8229,Passed,Passed,011FE5,2499.91,024F44C500065676000A9C620003271F,025044D20007567D000B9C6800052707,025D9C3F,Passed,Passed,Passed,0251D9D877920B5D6E96000D8AFE0003,0252D9DA77970B5A6E1200128A300007,0253DA0677960B576E4200148AB70008,0254D9E177900B576E7B00148AE2000A,0255DA4E77D10B5A6E4C00188AB2000B,0256D9CD77900B546E8E00168AEC000C,0257D9D877930B5F6E4D00188A90000D,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E30001C,02596DE1001A,025A6E240023,025B6E54001C,Passed,Passed,Passed,Passed,78285,78225,88158,42754,23.94,23.94,23.94,23.96,0,0,0,0,0.07,0.05,0.05,0.04,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.06,10.01,10.00,10.03,0.00,0.00,0.00,0.00,10.12,10.15,10.09,10.11,0.00,0.00,0.00,0.00,80.36,80.36,10.09,10.10,10.09,10.10,10.09,10.09,10.09,9.99,10.01,9.99,9.99,9.99,9.99,10.01,10000,9998,9999,9998,9999,9999,9999,10.01,10.01,10019,9995,Passed,Passed,Passed,Passed,9.99,9.99,0.01,0.01,89,88,86,82
S214600912,13/07/2022 13:44:11,503.92s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1465,25.5262,5.0090,3.3385,2.5037,4.9950,23.4748,16.5249,Passed,Passed,011FE5,2503.67,024F44B50019572A00169C9B00122721,025044F20018574300119C95001F2709,025D9C7B,Passed,Passed,Passed,0251DAB477EC0B5B6E1F000D8A89000B,0252DA8877FD0B5E6E3600108A8E000E,0253DA7D77D40B566DEE00128A410010,0254DA7A77DE0B586E9C000D8B020017,0255DABF780C0B576E9C00118B020017,0256DA9377EA0B566E3F00148A9D0018,0257DAAB77F40B646E4100158A890018,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586EEB001F,02596E43001A,025A6EDF0024,025B6EAA001D,Passed,Passed,Passed,Passed,45790,45733,70068,44358,23.93,23.93,23.93,23.96,0,0,0,0,0.04,0.03,0.05,0.02,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.08,10.01,9.95,10.05,0.01,0.00,0.00,0.00,10.16,10.18,10.14,10.18,0.00,0.00,0.00,0.00,80.37,80.37,10.08,10.08,10.08,10.08,10.08,10.08,10.08,9.98,9.97,9.98,9.99,9.99,9.98,9.98,9994,9995,9998,9998,9997,9997,9996,10.01,10.01,10014,9988,Passed,Passed,Passed,Passed,9.99,10.01,0.01,0.01,89,88,86,82
S215000517,13/07/2022 13:52:29,255.22s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1454,25.2733,5.0000,3.3215,2.4999,5.0088,23.9837,16.9302,Passed,Passed,011FE5,2499.88,024F44BF000D566F000A9C50000F271B,025044CD000D5679000A9C58000D270C,025D9C3E,Passed,Passed,Passed,0251D9E577920B5C6E94000D8AEC0008,0252D9E777980B5A6E1000108A31000A,0253DA0B77950B566E3C00158A8B0012,0254D9F0778A0B556E7900168AC00013,0255DA5977D10B5A6E48001A8A8B0013,0256D9D6778E0B4F6E89001A8ACF0015,0257D9E2778F0B5B6E49001A8A600014,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E30001E,02596DE00019,025A6E230025,025B6E51001C,Passed,Passed,Passed,Passed,80114,80048,89974,41375,23.94,23.94,23.94,23.96,0,0,0,0,0.06,0.05,0.05,0.04,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.06,10.01,9.97,10.02,0.00,0.00,0.00,0.00,10.14,10.15,10.08,10.12,0.00,0.00,0.00,0.00,80.37,80.38,10.10,10.10,10.10,10.09,10.10,10.10,10.09,10.01,10.01,10.01,10.01,10.01,10.01,10.00,9998,9997,9998,9999,9997,9997,10000,10.01,10.01,10013,9999,Passed,Passed,Passed,Passed,9.99,9.99,0.01,0.01,89,88,86,82
S215000517,13/07/2022 13:57:28,260.64s,2,Failed,UI3 Current Input Mode 10mA,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1433,25.3218,5.0001,3.3214,2.4999,5.0091,23.6459,16.5836,Passed,Passed,011FE5,2499.91,024F44BB001D566D000F9C5300182724,025044CA001A5679000D9C5D001B270C,025D9C3F,Passed,Passed,Passed,0251D9CC777F0B546EA200088ACD000F,0252D9D177810B546E2300088A16000F,0253D9F777850B596E54000E8A7F0016,0254D9D9D9C8D9BCFFFF7FFFFFFF7FFF,0255DA3F77BF0B536E5E00138A7B001A,0256D9BC77730B4E6E9700168AA7001E,0257D9CB777A0B576E5D00148A4F001B,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E2B0023,02596DDE001F,025A6E220027,025B6E4F0021,Passed,Passed,Passed,Passed,55551,55479,82321,50238,23.93,23.93,23.93,23.96,0,0,0,0,0.12,0.10,0.13,0.08,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.06,10.01,10.04,10.02,0.00,0.00,0.00,0.00,10.13,10.14,10.07,10.11,0.00,0.00,0.00,0.00,80.35,80.34,10.08,10.08,10.08,32.77,10.08,10.08,10.08,9.98,9.98,9.98,0.01,9.98,9.98,9.98,9996,9996,9997,3978,9998,9999,9998,10.01,10.01,10018,9995,Passed,Passed,Passed,Passed,9.99,9.99,0.01,0.01,89,88,86,82
S215000517,13/07/2022 14:14:44,258.14s,2,Failed,UI3 Current Input Mode 10mA,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1447,25.2724,5.0001,3.3218,2.4999,5.0091,23.6659,16.9581,Passed,Passed,011FE5,2499.92,024F44BF0014566E00189C56001B2721,025044CA0014567900189C5B0020270B,025D9C3F,Passed,Passed,Passed,0251D9C877800B556E9300098ABA0016,0252D9CB777F0B546E1A00068A1C0012,0253D9F677860B5D6E4400108A5A001E,0254D9D8D9C3D9BAFFFF7FFF00007FFF,0255DA3D77BF0B526E4C00148A540021,0256D9BA776B0B456E8800158AB9001F,0257D9C8777D0B586E4E00148A1B0023,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E2D0020,02596DE2001A,025A6E200027,025B6E4F001D,Passed,Passed,Passed,Passed,54966,54892,81247,49334,23.93,23.93,23.93,23.96,0,0,0,0,0.12,0.10,0.13,0.08,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.06,10.01,10.00,10.03,0.00,0.00,0.00,0.00,10.12,10.14,10.07,10.11,0.00,0.00,0.00,0.00,80.34,80.34,10.08,10.08,10.08,32.77,10.07,10.08,10.07,10.00,9.99,10.00,0.00,10.00,10.00,10.00,9998,9998,9999,3357,9998,9998,9998,10.01,10.01,10018,9996,Passed,Passed,Passed,Passed,10.00,9.98,0.01,0.01,89,88,86,82
S220401371,13/07/2022 15:21:16,255.10s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1463,25.2384,5.0085,3.3227,2.5042,4.9821,23.5934,16.4347,Passed,Passed,011FE5,2504.22,024F4519000E5715000D9C940017272B,025044C100155752000F9CA100172717,025D9C83,Passed,Passed,Passed,0251D9B877770B556E4600068A380010,0252D9D377750B4D6E4B000A8A4B0011,0253D9A777550B446E4C000E8A3D0018,0254D9D177840B4D6E2C000F8A110019,0255D988775E0B446E2A00128A1C0019,0256D99A77640B446E4900138A42001A,0257D989776F0B5B6E3C00148A3E0019,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E9D001C,02596E3F0019,025A6E6B0024,025B6EA0001B,Passed,Passed,Passed,Passed,41016,40943,63565,31876,23.93,23.93,23.93,23.96,0,0,0,0,0.12,0.10,0.13,0.08,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.05,10.01,10.04,10.03,0.00,0.01,0.00,0.00,10.10,10.13,10.11,10.07,0.00,0.00,0.00,0.00,80.18,80.17,10.08,10.08,10.08,10.08,10.08,10.08,10.08,9.99,9.98,9.98,9.98,9.98,9.98,9.98,9993,9994,9995,9995,9995,9997,9997,10.01,10.01,10019,10004,Passed,Passed,Passed,Passed,9.99,9.99,0.01,0.01,89,88,86,82
