,,,,,TestName,Connectors P15-P19 or J3,Connectors J4 or J7,Connectors J5 or J8,Connectors J6 or J9,Connectors P20 or J10,Connectors P21,Presence Rivet 1,Presence Rivet 2,Presence Rivet 3,Presence Rivet 4,Presence Rivet 5,Presence Rivet 6,Presence Rivet 7,Presence Rivet 8,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,REF_2V5_Buf VDC Measurment,5V_Pressure_Transducer Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Program & Verify Serial Number,Verify Software Number,2.5V_Buf Reference,UIO1 Data Calibrated,UIO2 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,UIO2 Calibration,2.5V Reference Calibration,UI1 Data Calibrated,UI2 Data Calibrated,UI3 Data Calibrated,UI4 Data Calibrated,UI5 Data Calibrated,UI6 Data Calibrated,UI7 Data Calibrated,UI1 Calibration,UI2 Calibration,UI3 Calibration,UI4 Calibration,UI5 Calibration,UI6 Calibration,UI7 Calibration,AO1 Data Calibrated,AO2 Data Calibrated,AO3 Data Calibrated,AO4 Data Calibrated,AO1 Calibration,AO2 Calibration,AO3 Calibration,AO4 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,0 VAC Binary Output 1,0 VAC Binary Output 2,0 VAC Binary Output 3,0 VAC Binary Output 4,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,AO1 Voltage Output Mode 10V,AO2 Voltage Output Mode 10V,AO3 Voltage Output Mode 10V,AO4 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO2 Voltage Output Mode 0V,AO3 Voltage Output Mode 0V,AO4 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO2 Current Output Mode 10 mA,AO3 Current Output Mode 10 mA,AO4 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO2 Current Output Mode 0 mA,AO3 Current Output Mode 0 mA,AO4 Current Output Mode 0 mA,AO3 PWM Output Mode 80Hz,AO4 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI2 Voltage Input Mode 10V,UI3 Voltage Input Mode 10V,UI4 Voltage Input Mode 10V,UI5 Voltage Input Mode 10V,UI6 Voltage Input Mode 10V,UI7 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI2 Current Input Mode 10mA,UI3 Current Input Mode 10mA,UI4 Current Input Mode 10mA,UI5 Current Input Mode 10mA,UI6 Current Input Mode 10mA,UI7 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UI2 Resistance Input Mode 10k,UI3 Resistance Input Mode 10k,UI4 Resistance Input Mode 10k,UI5 Resistance Input Mode 10k,UI6 Resistance Input Mode 10k,UI7 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO2 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO2 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO2 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO2 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO2 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UIO2 Voltage Output Mode 0V,J11 Address J11.1,J11 Address J11.3,J11 Address J11.5,J11 Address J11.7
,,,,,LowLimit,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.0900,22.8000,4.7500,3.1350,2.4750,4.9500,20.8000,0.0000,Passed,Passed,,2250.00,,,,Passed,Passed,Passed,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,Passed,Passed,Passed,Passed,1000,1000,1000,1000,22.80,22.80,22.80,22.80,-100,-100,-100,-100,0.00,0.00,0.00,0.00,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9.85,9.85,9.85,9.85,-0.05,-0.05,-0.05,-0.05,9.75,9.75,9.75,9.75,-0.25,-0.25,-0.25,-0.25,79.20,79.20,9.90,9.90,9.90,9.90,9.90,9.90,9.90,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9900,9900,9900,9900,9900,9900,9900,9.85,9.85,9900,9900,Passed,Passed,Passed,Passed,9.80,9.80,-0.05,-0.05,88.9,87.9,85.9,81.9
,,,,,HighLimit,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.2000,27.2000,5.2500,3.4650,2.5250,5.0500,25.2000,24.0000,Passed,Passed,,2750.00,,,,Passed,Passed,Passed,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,Passed,Passed,Passed,Passed,100000,100000,100000,100000,25.20,25.20,25.20,25.20,100,100,100,100,1.20,1.20,1.20,1.20,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.15,10.15,10.15,10.15,0.05,0.05,0.05,0.05,10.25,10.25,10.25,10.25,0.25,0.25,0.25,0.25,80.80,80.80,10.10,10.10,10.10,10.10,10.10,10.10,10.10,10.15,10.15,10.15,10.15,10.15,10.15,10.15,10100,10100,10100,10100,10100,10100,10100,10.15,10.15,10100,10100,Passed,Passed,Passed,Passed,10.20,10.20,1.00,1.00,89,88,86,82
,,,,,Units,,,,,,,,,,,,,,,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,,,,mV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,,,,,,,,,,,,,VDC,VDC,VDC,VDC,VDC,VDC,VDC,VDC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,Hz,Hz,VDC,VDC,VDC,VDC,VDC,VDC,VDC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,mADC,mADC,Ohms,Ohms,,,,,VDC,VDC,VDC,VDC,counts,counts,counts,counts
SN,Date,CycleTime,Nest,Status,FirstFail
S215000517,07/07/2022 9:53:42,229.98s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1447,25.2819,5.0001,3.3205,2.4999,5.0089,23.9445,17.0009,Passed,Passed,011FE5,2499.94,024F44C100105675000A9C5300142713,025044D1000D568000099C5F00112706,025D9C3F,Passed,Passed,Passed,0251D9C877860B596E9D000F8AEF0009,0252D9CA77880B576E1D000B8A4F0009,0253D9EC77860B546E4600168A940014,0254D9D4777F0B546E8300168AB00018,0255DA3C77C40B576E4E001A8A800019,0256D9BE77850B506E9400198AC2001A,0257D9C877860B5A6E4C001C8A3D001A,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E36001F,02596DE9001A,025A6E270026,025B6E5B001E,Passed,Passed,Passed,Passed,79745,24046,38959,87547,23.94,23.94,23.94,23.96,0,0,0,0,0.20,0.22,0.16,0.17,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.05,10.01,10.04,10.02,0.00,0.00,0.00,0.00,10.02,10.03,10.00,10.01,0.00,0.00,0.00,0.00,80.35,80.35,9.99,9.99,9.99,9.99,9.99,9.99,9.99,10.01,9.99,10.01,10.01,10.02,10.00,10.00,9999,9999,9999,9998,9998,9998,9999,10.01,10.00,10004,9993,Passed,Passed,Passed,Passed,10.00,10.00,0.01,0.01,89,88,86,82
S215000517,07/07/2022 9:57:42,229.00s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1441,25.3272,5.0001,3.3203,2.4999,5.0090,24.0365,16.9230,Passed,Passed,011FE5,2499.94,024F44BF0011567100119C56000F2718,025044D0000E567C000F9C60000D2709,025D9C3F,Passed,Passed,Passed,0251D9C777850B5E6E9C000F8AFD000A,0252D9C8778B0B5A6E1A00118A38000E,0253D9EA77870B536E4600148A890013,0254D9D277800B536E8000178AD20014,0255DA3877C20B5B6E4F001A8A800016,0256D9BB77820B4D6E90001E8AE00016,0257D9C777850B5E6E4D001B8A5E0016,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E35001F,02596DE8001B,025A6E260028,025B6E5A0020,Passed,Passed,Passed,Passed,79903,24209,38959,87755,23.94,23.94,23.94,23.96,0,0,0,0,0.20,0.22,0.16,0.17,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.05,10.01,10.07,10.02,0.00,0.00,0.00,0.00,10.02,10.03,10.00,10.01,0.00,0.00,0.00,0.00,80.35,80.35,9.99,9.99,9.99,9.99,9.99,9.99,9.99,10.00,10.00,10.00,10.01,10.00,10.01,10.00,9995,9995,9995,9995,9996,9996,9998,10.01,10.01,10009,9995,Passed,Passed,Passed,Passed,9.98,10.00,0.01,0.01,89,88,86,82
S220401371,07/07/2022 10:02:50,227.95s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1472,25.1358,5.0083,3.3232,2.5042,4.9821,23.7068,16.7468,Passed,Passed,011FE5,2504.19,024F451A0010572200099C9900182721,025044C90011575A00169CA50016270F,025D9C83,Passed,Passed,Passed,0251D9AE77770B556E5B00018A4B000C,0252D9C677760B516E5D00068A590011,0253D9A077540B466E5D000B8A46001B,0254D9C977800B536E44000B8A03001E,0255D97C77580B426E3F000E8A09001F,0256D99277640B416E5A00138A3D0020,0257D97E77760B5A6E5100118A3D001F,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586EAB001C,02596E4E0018,025A6E780025,025B6EAE001B,Passed,Passed,Passed,Passed,81247,32649,38473,85028,23.94,23.94,23.94,23.96,0,0,0,0,0.19,0.21,0.15,0.16,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.05,10.01,10.04,10.03,0.00,0.00,0.00,0.00,10.01,10.06,10.01,10.02,0.00,0.00,0.00,0.00,80.19,80.21,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.98,9.99,9993,9992,9992,9997,9996,9997,9992,10.01,10.01,10004,9996,Passed,Passed,Passed,Passed,9.99,9.99,0.01,0.01,89,88,86,82
S214600912,07/07/2022 10:14:15,228.65s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1488,25.4353,5.0089,3.3384,2.5036,4.9948,23.4880,16.5841,Passed,Passed,011FE5,2503.64,024F44B70020573500129C9000202723,025044F50019574D00109C97001F2710,025D9C7A,Passed,Passed,Passed,0251DAA977E10B5B6E2A00108A8A000E,0252DA7C77FB0B5C6E4500108A930011,0253DA7577D30B586DF700148A500012,0254DA7677DB0B586EA200128B3C0012,0255DAB578040B586EA400158B2E0015,0256DA8577ED0B556E4F00168AB60016,0257DA9B77EA0B606E5000168AA20016,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586EFA0020,02596E4C001B,025A6EEA0025,025B6EBC001E,Passed,Passed,Passed,Passed,68962,29993,39198,87156,23.94,23.94,23.94,23.96,0,0,0,0,0.20,0.22,0.16,0.18,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.08,10.01,10.11,10.05,0.01,0.00,0.00,0.00,10.06,10.07,10.02,10.08,0.00,0.00,0.00,0.00,80.33,80.33,10.00,9.99,9.99,9.99,9.99,9.99,9.99,9.98,9.98,9.97,9.98,9.99,9.97,9.97,9995,9987,9996,9996,9994,9994,9995,10.01,10.01,10016,9999,Passed,Passed,Passed,Passed,9.99,9.98,0.01,0.01,89,88,86,82
S210600587,07/07/2022 10:18:33,230.28s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1631,25.5565,4.9894,3.2881,2.4951,4.9877,22.9449,15.7694,Passed,Passed,011FE5,2495.10,024F44A80012573F00099C12000E271C,0250445400105728000C9C180010270D,025D9BF2,Passed,Passed,Passed,0251D807767A0B466E11000A89B3000B,0252D83A76B20B496E0C000D89B3000D,0253D80F76780B446E0E000F89CB0012,0254D7DC76700B456E45000F8A3D000D,0255D82D76990B436DF1001489AE0013,0256D827769E0B426E08001489CB0014,0257D84376B00B4E6DF4001489A10014,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586DC3001B,02596E1E0016,025A6E2C0020,025B6E37001B,Passed,Passed,Passed,Passed,67653,16878,37807,81215,23.94,23.94,23.94,23.96,0,0,0,0,0.18,0.20,0.15,0.17,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9.97,9.99,9.90,10.00,0.00,0.00,0.00,0.00,9.93,9.87,9.84,9.90,0.00,0.00,0.00,0.00,80.40,80.40,10.00,10.00,10.00,9.99,9.99,10.00,9.99,9.99,9.99,9.99,9.97,9.99,9.97,9.99,9998,10000,10000,10001,9998,10000,10000,10.01,10.01,10008,9993,Passed,Passed,Passed,Passed,9.95,9.98,0.01,0.01,89,88,86,82
S210600587,07/07/2022 20:59:02,227.38s,2,Failed,Binary Output 1 Led ON,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1594,25.6391,4.9889,3.2869,2.4948,0.0022,22.9346,15.2800,Passed,Passed,011FE5,2494.78,024F44A60016573F00099C0C00272714,0250445600145727000D9C0F002D26FE,025D9BED,Passed,Passed,Passed,0251D7F3767C0B4C6E0C000389AD000B,0252D82276AD0B506E07000689B1000D,0253D7FC76760B456E06000B89E1000F,0254D7C1766E0B476E40000E8A20000E,0255D81176980B436DF1001189B70012,0256D807768A0B3D6E00001289D80012,0257D83276AB0B516DF10010899F0012,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586DBA001E,02596E120019,025A6E220022,025B6E2E001D,Passed,Passed,Passed,Passed,29494,0,27231,64194,23.92,23.92,23.93,23.95,0,0,0,0,0.12,0.11,0.14,0.09,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9.99,9.99,9.99,9.98,0.00,0.00,0.00,0.00,9.93,9.87,9.84,9.90,0.00,0.00,0.00,0.00,80.38,80.38,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.98,9.97,9.98,9.98,9.98,9995,10000,10000,9998,10001,9999,10000,10.01,10.01,10006,9987,Passed,Passed,Passed,Passed,9.95,9.98,0.01,0.01,89,88,86,82
