,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,Rotary Switch Test
,,,,,LowLimit,0.05,22.8,4.75,3.135,1.337,1.262,22.8,0,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,9900,9900,9900,9900,9900,9900,9900,9900,9900,9.85,-0.10,9.75,-0.25,79.20,9.50,9.50,9900,9.50,9900,Passed,Passed,9.50,-0.05,Passed
,,,,,HighLimit,0.3,25.2,5.25,3.465,1.363,1.288,25.2,24,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,10100,10100,10100,10100,10100,10100,10100,10100,10100,10.15,0.10,10.75,0.25,80.80,10.10,10.15,10100,10.15,10100,Passed,Passed,10.20,1.00,Passed
,,,,,Units,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,VDC,VDC,mADC,mADC,Hz,VDC,mADC,Ohms,mADC,Ohms,,,VDC,VDC,
SN,Date,CycleTime,Nest,Status,FirstFail
S224802790,13/12/2022 03:20:12 p. m.,103.99s,2,Passed,,0.061493,23.8331464,5.09425267,3.30490662,1.34868543,1.27356002,23.8331117,23.8349988,23.9105843,23.9109229,23.911085,23.9127265,23.9129352,23.9129761,23.9129903,23.9130019,23.9132312,23.911595,23.9121274,23.9142554,23.9142283,0.0672019337,0.0760520131,0.0919159497,0.074389341,0.0511936816,0.0605468996,0.0502676724,0.0266578936,0.0423685564,0.0459751458,0.0399251675,0.0308226392,0.0306216788,9991,9991,9993,9992,9993,9991,9993,9992,9992,10.04,0.00,9.94,0.00,80.30,9.99,10.00,9992,10.01,10002,Passed,Passed,9.99,0.04,Passed
S225000209,13/12/2022 03:21:44 p. m.,195.85s,1,Passed,,0.061142,23.8453091,5.08441888,3.33030043,1.34798601,1.27381035,23.8461235,23.8468173,23.906609,23.9067519,23.9070451,23.9090328,23.9090845,23.9090366,23.9090356,23.909228,23.9093061,23.9066376,23.908169,23.910591,23.9106588,0.0477499939,0.0450786917,0.0512884847,0.0879718596,0.0698260594,0.0516527936,0.0534336169,0.0685887552,0.030232131,0.0471195229,0.0465667011,0.047285767,0.0626961722,10003,10001,10003,10002,10002,10001,10000,10002,10001,10.05,0.00,9.91,0.00,80.38,10.00,10.00,9995,10.01,9999,Passed,Passed,10.02,0.05,Passed
S225000209,13/12/2022 03:23:39 p. m.,104.99s,1,Passed,,0.059662,23.8488859,5.06457968,3.33008907,1.34826383,1.27424109,23.8495943,23.8501451,23.9051865,23.905187,23.9055953,23.9074067,23.9073901,23.9074041,23.9074829,23.9075627,23.9076351,23.9050511,23.9064085,23.9087282,23.908833,0.0381090424,0.0371398855,0.0425409881,0.0730917869,0.0626779267,0.0385819306,0.0463774175,0.0588115827,0.022133524,0.0308121518,0.0323885699,0.0304655473,0.0415774337,10009,10008,10009,10008,10009,10008,10008,10008,10007,10.06,0.00,9.91,0.00,80.38,10.00,10.01,10003,10.01,10006,Passed,Passed,10.02,0.05,Passed
S224802790,13/12/2022 03:25:18 p. m.,203.91s,2,Passed,,0.060257,23.8365395,5.13280564,3.30501579,1.34907342,1.27403268,23.8364573,23.8383842,23.9197193,23.9199589,23.9202759,23.921953,23.9221867,23.9223297,23.9222959,23.9223997,23.9224495,23.9212665,23.9212881,23.9236344,23.9238134,0.0857554589,0.107534892,0.122681399,0.104128188,0.0882767284,0.100623195,0.0996157188,0.09200489,0.0947620161,0.0989577656,0.0991034183,0.103336024,0.0900808148,9989,9990,9991,9991,9991,9990,9992,9991,9992,10.04,0.01,9.94,0.00,80.29,9.99,9.99,9980,10.01,10003,Passed,Passed,9.99,0.04,Passed
S224802790,13/12/2022 03:27:26 p. m.,104.66s,2,Passed,,0.054947,23.8398296,5.13356259,3.30501433,1.34910572,1.27401272,23.839405,23.8413982,23.9168212,23.9170464,23.9171949,23.9188091,23.9192116,23.9192223,23.9194348,23.9192006,23.9197233,23.9182021,23.9184773,23.9207256,23.9208453,0.0803975951,0.0927571266,0.0826526454,0.0700363641,0.0486042904,0.0439178672,0.0402268302,0.050155205,0.0322822144,0.0181193494,0.0476688054,0.0452987469,0.0464593531,9990,9991,9993,9992,9993,9991,9993,9993,9994,10.04,0.00,9.94,0.00,80.29,9.99,9.99,9992,10.01,10003,Passed,Passed,9.99,0.04,Passed
S225000209,13/12/2022 03:28:58 p. m.,196.85s,1,Passed,,0.054855,23.8493489,5.08120835,3.3301341,1.34829081,1.27421635,23.8502803,23.8504173,23.9081788,23.9083716,23.9086251,23.9106355,23.9106156,23.9109519,23.9110153,23.9109856,23.9111455,23.908642,23.9099979,23.912287,23.9124494,0.0201844712,0.0191858698,0.0237035481,0.0695189626,0.0396986442,0.025060286,0.0372146316,0.0536219081,0.0206403098,0.0359099419,0.0342933393,0.0344223285,0.0515227208,10003,10002,10003,10002,10002,10002,10002,10002,10001,10.05,0.00,9.91,0.00,80.39,10.00,9.99,9994,10.01,10002,Passed,Passed,10.00,0.05,Passed
