,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Hardware Number,Program & Verify Serial Number,Verify Software Number,AI1 Data Calibrated,AI2 Data Calibrated,AI3 Data Calibrated,AI4 Data Calibrated,AI5 Data Calibrated,AI6 Data Calibrated,AI7 Data Calibrated,AI8 Data Calibrated,AI9 Data Calibrated,AI1 Calibration,AI2 Calibration,AI3 Calibration,AI4 Calibration,AI5 Calibration,AI6 Calibration,AI7 Calibration,AI8 Calibration,AI9 Calibration,UIO1 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,2.5V Reference Calibration,2.5V_Buf Reference,UI1 Data Calibrated,UI1 Calibration,AO1 Data Calibrated,AO1 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,Binary Output 5 Led ON,Binary Output 6 Led ON,Binary Output 7 Led ON,Binary Output 8 Led ON,Binary Output 9 Led ON,Binary Output 10 Led ON,Binary Output 11 Led ON,Binary Output 12 Led ON,Binary Output 13 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,Binary Output 5 Led OFF,Binary Output 6 Led OFF,Binary Output 7 Led OFF,Binary Output 8 Led OFF,Binary Output 9 Led OFF,Binary Output 10 Led OFF,Binary Output 11 Led OFF,Binary Output 12 Led OFF,Binary Output 13 Led OFF,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 7 High,Binary Input 8 High,Binary Input 9 High,Binary Input 10 High,Binary Input 11 High,Binary Input 12 High,Binary Input 13 High,Binary Input 14 High,Binary Input 15 High,Binary Input 16 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,Binary Input 7 Low,Binary Input 8 Low,Binary Input 9 Low,Binary Input 10 Low,Binary Input 11 Low,Binary Input 12 Low,Binary Input 13 Low,Binary Input 14 Low,Binary Input 15 Low,Binary Input 16 Low,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UART Test,UART LED11 Test,UART LED12 Test,UART LED13 Test,UART LED14 Test,USB Host J2 Test,USB Device P13 Test,Ethernet Loockback Test,System LEDs Test ON,LED9 Test ON,LED10 Test ON,LED3 Test ON,System LEDs Test OFF,LED9 Test OFF,LED10 Test OFF,LED3 Test OFF,LCD Display 1 Test,LCD Display 2 Test,Push-Bottom Test,Rotary Switch Test,Setting Calibration RTC_CLK_OUT,RTC_CLK_OUT Test,Match Date Calibration,Incrementing Date,Mac Address Assigment,Mac Address Assigned,Hardware Programmed,Serial Number Programmed,Login to SO and Change Directory,Request Cert and Certificate Installed,PS Processor Version,Device Tree md5sum,Device Tree (copy) md5sum,Field Kernel md5sum,Field Kernel (copy) md5sum,Recovery Kernel md5sum,U-boot md5sum,Reset Controller,Disable Debug Console
,,,,,LowLimit,0.05,22.8,4.75,3.135,1.337,1.262,22.8,0,Passed,,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,Passed,Passed,2250,,Passed,,Passed,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9900,9900,9900,9900,9900,9900,9900,9900,9900,9.85,-0.10,9.50,-0.25,79.20,9.50,9.50,9900,9.50,9900,Passed,Passed,9.50,-0.05,Passed,1000,1000,1000,1000,Passed,Passed,Passed,Passed,1000,1000,1000,Passed,-100,-100,-100,Passed,Passed,Passed,Passed,Passed,30000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,HighLimit,0.3,25.2,5.25,3.465,1.363,1.288,25.2,24,Passed,,Passed,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,Passed,Passed,2750,,Passed,,Passed,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,100,100,100,100,100,100,100,100,100,100,100,100,100,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10100,10100,10100,10100,10100,10100,10100,10100,10100,10.15,0.10,10.75,0.25,80.80,10.10,10.15,10100,10.15,10100,Passed,Passed,10.20,1.00,Passed,100000,100000,100000,100000,Passed,Passed,Passed,Passed,100000,100000,100000,Passed,1000,1000,1000,Passed,Passed,Passed,Passed,Passed,40000,Passed,Passed,Passed,,Passed,Passed,Passed,Passed,,,,,,,,Passed,Passed
,,,,,Units,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,,,,,,,,,,,,,,,,,,,,,,,,,,,mV,,,,,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,VDC,VDC,mADC,mADC,Hz,VDC,mADC,Ohms,mADC,Ohms,,,VDC,VDC,,Lm,Lm,Lm,Lm,,,,,Lm,Lm,Lm,,Lm,Lm,Lm,,,,,,Hz,,,,,,,,,,,,,,,,,
SN,Date,CycleTime,Nest,Status,FirstFail
S230506046,09/02/2023 12:00:22 a. m.,291.57s,1,Failed,USB Host J2 Test,0.177063,23.7145153,5.03888869,3.32723556,1.34813493,1.27329688,23.7158281,2.05931469,Passed,400311901,Passed,014501,0288FFF0800B0B2C9BF7FFEB,0289FFF180050B2D9BF8FFEC,028AFFF180090B2C9BF6FFEC,028BFFE27FF70B1B9BF4FFFF,028CFFE27FF90B199BF5FFFE,028DFFE37FF90B1D9BF4FFFD,028EFFE37FF70B1C9BF5FFFC,028FFFEA7FFA0B1E9BF3FFFC,0290FFE57FFF0B1C9BF4FFFC,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02854490001656EC00129BFA0013270B,02929BE8,Passed,Passed,2494.53107,0286DAAA781E0B766DFB000289D70002,Passed,02876DDE0008,Passed,38473,59031,32540,72394,48642,57935,69300,67142,16878,43858,10105,41304,56469,23.8562503,23.8565632,23.856816,23.8591635,23.8592936,23.8594973,23.8594405,23.8593382,23.8596606,23.856597,23.8577695,23.8607667,23.8608143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205251514,0.204419547,0.206727221,0.222525104,0.221258321,0.199203453,0.237622497,0.22261924,0.231376642,0.180968974,0.185080658,0.158830078,0.164444712,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9996,9998,9996,9997,9999,9999,9999,9996,9999,10.06,0.01,9.95,0.00,80.00,10.00,10.01,9993,10.01,10006,Passed,Passed,10.01,0.01,Passed,23549,52982,29993,25007,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S230506162,09/02/2023 12:06:33 a. m.,289.24s,1,Failed,USB Host J2 Test,0.177887,23.8083202,5.01641707,3.33566064,1.34847851,1.27435661,23.8095279,1.97668147,Passed,400311901,Passed,014501,0288FFF2801B0B319C3EFFEA,0289FFF480210B339C3FFFEB,028AFFF380200B319C3EFFEB,028BFFE680080B1F9C3B0000,028CFFE880140B1F9C390001,028DFFE6801F0B259C39FFFC,028EFFE7800D0B209C3CFFFC,028FFFEF800F0B259C3AFFFB,0290FFEA80210B239C3BFFFB,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544FA0015572400109C41001326FC,02929C30,Passed,Passed,2498.98612,0286DAAA780A0B726E2500038A130002,Passed,02876E7B000A,Passed,39512,60275,35004,72249,46803,59424,70844,69057,19888,40943,11943,50004,62222,23.8629665,23.8630562,23.8631141,23.8661469,23.8663488,23.8664009,23.8662573,23.8663493,23.866332,23.8624068,23.8636236,23.8672132,23.8672598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107729577,0.12203566,0.144712653,0.179475397,0.185418854,0.189946252,0.229581136,0.240947439,0.246071781,0.226312677,0.24517088,0.21865396,0.23405492,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10008,10005,10008,10006,10005,10001,10003,10005,10003,10.07,0.01,9.95,0.00,80.00,10.00,10.01,9996,10.01,10013,Passed,Passed,10.01,0.01,Passed,22692,51936,31763,28592,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S230504928,09/02/2023 12:22:56 a. m.,73.10s,1,Failed,AI1 Calibration,0.202255,23.8027575,4.98034116,3.3264234,1.34693383,1.27591605,23.8043957,1.84726364,Passed,400311901,Passed,014501,0288FFF2801B0B319C3EFFEA,0289FFF480210B339C3FFFEB,028AFFF380200B319C3EFFEB,028BFFE680080B1F9C3B0000,028CFFE880140B1F9C390001,028DFFE6801F0B259C39FFFC,028EFFE7800D0B209C3CFFFC,028FFFEF800F0B259C3AFFFB,0290FFEA80210B239C3BFFFB,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S230503849,09/02/2023 12:22:57 a. m.,8.22s,2,Failed,UUT Current Measurment,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S230506063,09/02/2023 12:30:53 a. m.,314.99s,2,Failed,Rotary Switch Test,0.176727,23.8410246,4.97564582,3.3295089,1.34713989,1.27221846,23.8411305,1.96480342,Passed,400311901,Passed,014501,0288FFDA7FFC0B2F9BFCFFFA,0289FFE17FFA0B2E9C08FFF2,028AFFE47FFA0B2C9BFDFFF6,028BFFD77FED0B199C040000,028CFFDA7FEE0B1A9BF90010,028DFFDB7FED0B1C9BFC0008,028EFFDD7FF20B1E9BFF0007,028FFFDF7FF60B1D9BFD0003,0290FFDE7FF90B1D9BFD0003,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0285447B001656DB00119C0D00142705,02929BF9,Passed,Passed,2495.58325,0286DAF478410B796DE0000389CD0002,Passed,02876DDB000A,Passed,69113,57708,64478,61230,58474,55731,68386,56085,58909,62816,70896,22160,14165,23.8782604,23.8782419,23.8786069,23.880515,23.8806497,23.8805677,23.880672,23.8807733,23.8806558,23.8792525,23.8793636,23.8816896,23.8816911,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18136396,0.20984026,0.210079444,0.209664414,0.18292329,0.198119853,0.196012909,0.208455371,0.197710593,0.215735509,0.229531891,0.189598362,0.205740736,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10006,10004,10004,10004,10003,10004,10002,10002,10002,10.07,0.01,9.87,0.00,80.00,9.99,10.01,9991,10.01,10006,Passed,Passed,10.01,0.01,Passed,17561,30719,7733,13083,Passed,Passed,Passed,Passed,99999,99999,45265,Passed,0,0,0,Passed,Passed,Passed,Failed,,,,,,,,,,,,,,,,,,,
S230505322,09/02/2023 12:31:36 a. m.,385.33s,1,Failed,AI1 Resistance Input Mode 10k,0.179459,23.7409894,4.99975197,3.33758511,1.3504087,1.27452377,23.742445,2.01046712,Passed,400311901,Passed,014501,02880A9E0A9C0A679BFDFFEB,02890AA20A9F0A6A9BFFFFEC,028A0A9E0A9C0A689BFDFFEB,028B0A8C0A8B0A549BFFFFFB,028C0A8E0A8E0A579BFCFFF9,028D0A920A900A5B9BFCFFF6,028E0A8E0A8D0A569BFBFFFC,028F0A920A900A5A9BFBFFF7,02900A900A8E0A589BFCFFF9,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,028544D10014574A000D9C0100102712,02929BED,Passed,Passed,2494.81908,0286DB1F78570B7A6DFF000289E90002,Passed,02876DFE000A,Passed,36855,55587,41658,54892,50698,56946,68013,60758,14685,46967,14165,39512,53346,23.8412936,23.8417233,23.842123,23.8447362,23.8447564,23.8450476,23.8450631,23.8449512,23.8451373,23.8423735,23.8438505,23.8465487,23.8466991,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164770579,0.162130287,0.169535096,0.186237309,0.180684847,0.166824128,0.196749629,0.193165195,0.189542266,0.167288264,0.173827156,0.156918647,0.16874731,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,21978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
